name,url,full_url,important_numbers,likelihood_force_by_pop,likelihood_force_by_arrests
"West Milford, Passaic",/database/pd-dept/west-milford-passaic,http://force.nj.com/database/pd-dept/west-milford-passaic,"['836%', '59%']",836%,59%
"West New York, Hudson",/database/pd-dept/west-new-york-hudson,http://force.nj.com/database/pd-dept/west-new-york-hudson,"['62%', '92%']",62%,92%
"West Orange, Essex",/database/pd-dept/west-orange-essex,http://force.nj.com/database/pd-dept/west-orange-essex,"['173%', '29%']",173%,29%
"West Wildwood, Cape May",/database/pd-dept/west-wildwood-cape-may,http://force.nj.com/database/pd-dept/west-wildwood-cape-may,"['N/A', 'N/A']",N/A,N/A
"West Windsor, Mercer",/database/pd-dept/west-windsor-mercer,http://force.nj.com/database/pd-dept/west-windsor-mercer,"['1083%', '1%']",1083%,1%
"Westfield, Union",/database/pd-dept/westfield-union,http://force.nj.com/database/pd-dept/westfield-union,"['403%', '64%']",403%,64%
"Westampton, Burlington",/database/pd-dept/westampton-burlington,http://force.nj.com/database/pd-dept/westampton-burlington,"['491%', '28%']",491%,28%
"Westville & National Park, Gloucester",/database/pd-dept/westville-gloucester,http://force.nj.com/database/pd-dept/westville-gloucester,"['657%', '28%']",657%,28%
"Westwood, Bergen",/database/pd-dept/westwood-bergen,http://force.nj.com/database/pd-dept/westwood-bergen,"['171%', '7%']",171%,7%
"Wharton & Mine Hill, Morris",/database/pd-dept/wharton-morris,http://force.nj.com/database/pd-dept/wharton-morris,"['512%', '41%']",512%,41%
"Wildwood Crest, Cape May",/database/pd-dept/wildwood-crest-cape-may,http://force.nj.com/database/pd-dept/wildwood-crest-cape-may,"['N/A', '96%']",N/A,96%
"Wildwood, Cape May",/database/pd-dept/wildwood-cape-may,http://force.nj.com/database/pd-dept/wildwood-cape-may,"['233%', '96%']",233%,96%
"Willingboro, Burlington",/database/pd-dept/willingboro-burlington,http://force.nj.com/database/pd-dept/willingboro-burlington,"['2%', '18%']",2%,18%
"Winfield, Union",/database/pd-dept/winfield-union,http://force.nj.com/database/pd-dept/winfield-union,"['N/A', 'N/A']",N/A,N/A
"Winslow, Camden",/database/pd-dept/winslow-camden,http://force.nj.com/database/pd-dept/winslow-camden,"['142%', '67%']",142%,67%
"Wood-Ridge, Bergen",/database/pd-dept/wood-ridge-bergen,http://force.nj.com/database/pd-dept/wood-ridge-bergen,"['N/A', '32%']",N/A,32%
"Woodbridge, Middlesex",/database/pd-dept/woodbridge-middlesex,http://force.nj.com/database/pd-dept/woodbridge-middlesex,"['70%', '2%']",70%,2%
"Woodbury Heights, Gloucester",/database/pd-dept/woodbury-heights-gloucester,http://force.nj.com/database/pd-dept/woodbury-heights-gloucester,"['648%', '81%']",648%,81%
"Woodbury, Gloucester",/database/pd-dept/woodbury-gloucester,http://force.nj.com/database/pd-dept/woodbury-gloucester,"['299%', '39%']",299%,39%
"Woodcliff Lake, Bergen",/database/pd-dept/woodcliff-lake-bergen,http://force.nj.com/database/pd-dept/woodcliff-lake-bergen,"['N/A', 'N/A']",N/A,N/A
"Woodland Park, Passaic",/database/pd-dept/woodland-park-passaic,http://force.nj.com/database/pd-dept/woodland-park-passaic,"['707%', '40%']",707%,40%
"Woodlynne, Camden",/database/pd-dept/woodlynne-camden,http://force.nj.com/database/pd-dept/woodlynne-camden,"['95%', '112%']",95%,112%
"Woodstown, Salem",/database/pd-dept/woodstown-salem,http://force.nj.com/database/pd-dept/woodstown-salem,"['322%', '13%']",322%,13%
"Woolwich & Swedesboro, Gloucester",/database/pd-dept/woolwich-gloucester,http://force.nj.com/database/pd-dept/woolwich-gloucester,"['N/A', 'N/A']",N/A,N/A
"Wyckoff, Bergen",/database/pd-dept/wyckoff-bergen,http://force.nj.com/database/pd-dept/wyckoff-bergen,"['2788%', '7%']",2788%,7%
"Hi-Nella, Camden",/database/pd-dept/hi-nella-camden,http://force.nj.com/database/pd-dept/hi-nella-camden,['Error found for http://force.nj.com/database/pd-dept/hi-nella-camden'],,
"Lawnside, Camden",/database/pd-dept/lawnside-camden,http://force.nj.com/database/pd-dept/lawnside-camden,['Error found for http://force.nj.com/database/pd-dept/lawnside-camden'],,
"Pine Valley, Camden",/database/pd-dept/pine%20valley-camden,http://force.nj.com/database/pd-dept/pine%20valley-camden,['Error found for http://force.nj.com/database/pd-dept/pine%20valley-camden'],,
"Franklin, Hunterdon",/database/pd-dept/franklin-hunterdon,http://force.nj.com/database/pd-dept/franklin-hunterdon,['Error found for http://force.nj.com/database/pd-dept/franklin-hunterdon'],,
"Tewksbury, Hunterdon",/database/pd-dept/tewksbury-hunterdon,http://force.nj.com/database/pd-dept/tewksbury-hunterdon,['Error found for http://force.nj.com/database/pd-dept/tewksbury-hunterdon'],,
"Elmer, Salem",/database/pd-dept/elmer-salem,http://force.nj.com/database/pd-dept/elmer-salem,['Error found for http://force.nj.com/database/pd-dept/elmer-salem'],,
"Holland, Hunterdon",/database/pd-dept/holland-hunterdon,http://force.nj.com/database/pd-dept/holland-hunterdon,['Error found for http://force.nj.com/database/pd-dept/holland-hunterdon'],,
"New Hanover, Burlington",/database/pd-dept/new-hanover-burlington,http://force.nj.com/database/pd-dept/new-hanover-burlington,['Error found for http://force.nj.com/database/pd-dept/new-hanover-burlington'],,
"Buena Vista, Atlantic",/database/pd-dept/buena-vista-atlantic,http://force.nj.com/database/pd-dept/buena-vista-atlantic,['Error found for http://force.nj.com/database/pd-dept/buena-vista-atlantic'],,
"Corbin City, Atlantic",/database/pd-dept/corbin-city-atlantic,http://force.nj.com/database/pd-dept/corbin-city-atlantic,['Error found for http://force.nj.com/database/pd-dept/corbin-city-atlantic'],,
"Estell Manor, Atlantic",/database/pd-dept/estell-manor-atlantic,http://force.nj.com/database/pd-dept/estell-manor-atlantic,['Error found for http://force.nj.com/database/pd-dept/estell-manor-atlantic'],,
"Folsom, Atlantic",/database/pd-dept/folsom-atlantic,http://force.nj.com/database/pd-dept/folsom-atlantic,['Error found for http://force.nj.com/database/pd-dept/folsom-atlantic'],,
"Port Republic City, Atlantic",/database/pd-dept/port-republic-city-atlantic,http://force.nj.com/database/pd-dept/port-republic-city-atlantic,['Error found for http://force.nj.com/database/pd-dept/port-republic-city-atlantic'],,
"Weymouth Township, Atlantic",/database/pd-dept/weymouth-township-atlantic,http://force.nj.com/database/pd-dept/weymouth-township-atlantic,['Error found for http://force.nj.com/database/pd-dept/weymouth-township-atlantic'],,
"Wrightstown, Burlington",/database/pd-dept/wrightstown-burlington,http://force.nj.com/database/pd-dept/wrightstown-burlington,['Error found for http://force.nj.com/database/pd-dept/wrightstown-burlington'],,
"Woodland, Burlington",/database/pd-dept/woodland-burlington,http://force.nj.com/database/pd-dept/woodland-burlington,['Error found for http://force.nj.com/database/pd-dept/woodland-burlington'],,
"Bass River, Burlington",/database/pd-dept/bass-river-burlington,http://force.nj.com/database/pd-dept/bass-river-burlington,['Error found for http://force.nj.com/database/pd-dept/bass-river-burlington'],,
"Hainesport, Burlington",/database/pd-dept/hainesport-burlington,http://force.nj.com/database/pd-dept/hainesport-burlington,['Error found for http://force.nj.com/database/pd-dept/hainesport-burlington'],,
"Tabernacle, Burlington",/database/pd-dept/tabernacle-burlington,http://force.nj.com/database/pd-dept/tabernacle-burlington,['Error found for http://force.nj.com/database/pd-dept/tabernacle-burlington'],,
"Southampton, Burlington",/database/pd-dept/southampton-burlington,http://force.nj.com/database/pd-dept/southampton-burlington,['Error found for http://force.nj.com/database/pd-dept/southampton-burlington'],,
"Shamong, Burlington",/database/pd-dept/shamong-burlington,http://force.nj.com/database/pd-dept/shamong-burlington,['Error found for http://force.nj.com/database/pd-dept/shamong-burlington'],,
"Washington, Burlington",/database/pd-dept/washington-burlington,http://force.nj.com/database/pd-dept/washington-burlington,['Error found for http://force.nj.com/database/pd-dept/washington-burlington'],,
"Dennis, Cape May",/database/pd-dept/dennis-cape-may,http://force.nj.com/database/pd-dept/dennis-cape-may,['Error found for http://force.nj.com/database/pd-dept/dennis-cape-may'],,
"Upper, Cape May",/database/pd-dept/upper-cape-may,http://force.nj.com/database/pd-dept/upper-cape-may,['Error found for http://force.nj.com/database/pd-dept/upper-cape-may'],,
"Woodbine, Cape May",/database/pd-dept/woodbine-cape-may,http://force.nj.com/database/pd-dept/woodbine-cape-may,['Error found for http://force.nj.com/database/pd-dept/woodbine-cape-may'],,
"Commercial, Cumberland",/database/pd-dept/commercial-cumberland,http://force.nj.com/database/pd-dept/commercial-cumberland,['Error found for http://force.nj.com/database/pd-dept/commercial-cumberland'],,
"Deerfield, Cumberland",/database/pd-dept/deerfield-cumberland,http://force.nj.com/database/pd-dept/deerfield-cumberland,['Error found for http://force.nj.com/database/pd-dept/deerfield-cumberland'],,
"Downe, Cumberland",/database/pd-dept/downe-cumberland,http://force.nj.com/database/pd-dept/downe-cumberland,['Error found for http://force.nj.com/database/pd-dept/downe-cumberland'],,
"Fairfield, Cumberland",/database/pd-dept/fairfield-cumberland,http://force.nj.com/database/pd-dept/fairfield-cumberland,['Error found for http://force.nj.com/database/pd-dept/fairfield-cumberland'],,
"Greenwich Township, Cumberland",/database/pd-dept/greenwich-township-cumberland,http://force.nj.com/database/pd-dept/greenwich-township-cumberland,['Error found for http://force.nj.com/database/pd-dept/greenwich-township-cumberland'],,
"Hopewell, Cumberland",/database/pd-dept/hopewell-cumberland,http://force.nj.com/database/pd-dept/hopewell-cumberland,['Error found for http://force.nj.com/database/pd-dept/hopewell-cumberland'],,
"Lawrence Township, Cumberland",/database/pd-dept/lawrence-township-cumberland,http://force.nj.com/database/pd-dept/lawrence-township-cumberland,['Error found for http://force.nj.com/database/pd-dept/lawrence-township-cumberland'],,
"Maurice River, Cumberland",/database/pd-dept/maurice-river-cumberland,http://force.nj.com/database/pd-dept/maurice-river-cumberland,['Error found for http://force.nj.com/database/pd-dept/maurice-river-cumberland'],,
"Shiloh Borough, Cumberland",/database/pd-dept/shiloh-borough-cumberland,http://force.nj.com/database/pd-dept/shiloh-borough-cumberland,['Error found for http://force.nj.com/database/pd-dept/shiloh-borough-cumberland'],,
"Stow Creek, Cumberland",/database/pd-dept/stow-creek-cumberland,http://force.nj.com/database/pd-dept/stow-creek-cumberland,['Error found for http://force.nj.com/database/pd-dept/stow-creek-cumberland'],,
"Upper Deerfield, Cumberland",/database/pd-dept/upper-deerfield-cumberland,http://force.nj.com/database/pd-dept/upper-deerfield-cumberland,['Error found for http://force.nj.com/database/pd-dept/upper-deerfield-cumberland'],,
"Alexandria, Hunterdon",/database/pd-dept/alexandria-hunterdon,http://force.nj.com/database/pd-dept/alexandria-hunterdon,['Error found for http://force.nj.com/database/pd-dept/alexandria-hunterdon'],,
"Bethlehem, Hunterdon",/database/pd-dept/bethlehem-hunterdon,http://force.nj.com/database/pd-dept/bethlehem-hunterdon,['Error found for http://force.nj.com/database/pd-dept/bethlehem-hunterdon'],,
"Bloomsbury Borough, Hunterdon",/database/pd-dept/bloomsbury-borough-hunterdon,http://force.nj.com/database/pd-dept/bloomsbury-borough-hunterdon,['Error found for http://force.nj.com/database/pd-dept/bloomsbury-borough-hunterdon'],,
"East Amwell, Hunterdon",/database/pd-dept/east-amwell-hunterdon,http://force.nj.com/database/pd-dept/east-amwell-hunterdon,['Error found for http://force.nj.com/database/pd-dept/east-amwell-hunterdon'],,
"Glen Gardner Borough, Hunterdon",/database/pd-dept/glen-gardner-borough-hunterdon,http://force.nj.com/database/pd-dept/glen-gardner-borough-hunterdon,['Error found for http://force.nj.com/database/pd-dept/glen-gardner-borough-hunterdon'],,
"Hampton, Hunterdon",/database/pd-dept/hampton-hunterdon,http://force.nj.com/database/pd-dept/hampton-hunterdon,['Error found for http://force.nj.com/database/pd-dept/hampton-hunterdon'],,
"Kingwood, Hunterdon",/database/pd-dept/kingwood-hunterdon,http://force.nj.com/database/pd-dept/kingwood-hunterdon,['Error found for http://force.nj.com/database/pd-dept/kingwood-hunterdon'],,
"Lebanon Borough, Hunterdon",/database/pd-dept/lebanon-borough-hunterdon,http://force.nj.com/database/pd-dept/lebanon-borough-hunterdon,['Error found for http://force.nj.com/database/pd-dept/lebanon-borough-hunterdon'],,
"Milford Borough, Hunterdon",/database/pd-dept/milford-borough-hunterdon,http://force.nj.com/database/pd-dept/milford-borough-hunterdon,['Error found for http://force.nj.com/database/pd-dept/milford-borough-hunterdon'],,
"Stockton Borough, Hunterdon",/database/pd-dept/stockton-borough-hunterdon,http://force.nj.com/database/pd-dept/stockton-borough-hunterdon,['Error found for http://force.nj.com/database/pd-dept/stockton-borough-hunterdon'],,
"Union, Hunterdon",/database/pd-dept/union-hunterdon,http://force.nj.com/database/pd-dept/union-hunterdon,['Error found for http://force.nj.com/database/pd-dept/union-hunterdon'],,
"Farmingdale, Monmouth",/database/pd-dept/farmingdale-monmouth,http://force.nj.com/database/pd-dept/farmingdale-monmouth,['Error found for http://force.nj.com/database/pd-dept/farmingdale-monmouth'],,
"Millstone, Monmouth",/database/pd-dept/millstone-monmouth,http://force.nj.com/database/pd-dept/millstone-monmouth,['Error found for http://force.nj.com/database/pd-dept/millstone-monmouth'],,
"Roosevelt, Monmouth",/database/pd-dept/roosevelt-monmouth,http://force.nj.com/database/pd-dept/roosevelt-monmouth,['Error found for http://force.nj.com/database/pd-dept/roosevelt-monmouth'],,
"Shrewsbury Township, Monmouth",/database/pd-dept/shrewsbury-township-monmouth,http://force.nj.com/database/pd-dept/shrewsbury-township-monmouth,['Error found for http://force.nj.com/database/pd-dept/shrewsbury-township-monmouth'],,
"Upper Freehold, Monmouth",/database/pd-dept/upper-freehold-monmouth,http://force.nj.com/database/pd-dept/upper-freehold-monmouth,['Error found for http://force.nj.com/database/pd-dept/upper-freehold-monmouth'],,
"Victory Gardens, Morris",/database/pd-dept/victory-gardens-morris,http://force.nj.com/database/pd-dept/victory-gardens-morris,['Error found for http://force.nj.com/database/pd-dept/victory-gardens-morris'],,
"Eagleswood, Ocean",/database/pd-dept/eagleswood-ocean,http://force.nj.com/database/pd-dept/eagleswood-ocean,['Error found for http://force.nj.com/database/pd-dept/eagleswood-ocean'],,
"Alloway, Salem",/database/pd-dept/alloway-salem,http://force.nj.com/database/pd-dept/alloway-salem,['Error found for http://force.nj.com/database/pd-dept/alloway-salem'],,
"Mannington, Salem",/database/pd-dept/mannington-salem,http://force.nj.com/database/pd-dept/mannington-salem,['Error found for http://force.nj.com/database/pd-dept/mannington-salem'],,
"Oldmans, Salem",/database/pd-dept/oldmans-salem,http://force.nj.com/database/pd-dept/oldmans-salem,['Error found for http://force.nj.com/database/pd-dept/oldmans-salem'],,
"Pilesgrove, Salem",/database/pd-dept/pilesgrove-salem,http://force.nj.com/database/pd-dept/pilesgrove-salem,['Error found for http://force.nj.com/database/pd-dept/pilesgrove-salem'],,
"Pittsgrove, Salem",/database/pd-dept/pittsgrove-salem,http://force.nj.com/database/pd-dept/pittsgrove-salem,['Error found for http://force.nj.com/database/pd-dept/pittsgrove-salem'],,
"Quinton, Salem",/database/pd-dept/quinton-salem,http://force.nj.com/database/pd-dept/quinton-salem,['Error found for http://force.nj.com/database/pd-dept/quinton-salem'],,
"Upper Pittsgrove, Salem",/database/pd-dept/upper-pittsgrove-salem,http://force.nj.com/database/pd-dept/upper-pittsgrove-salem,['Error found for http://force.nj.com/database/pd-dept/upper-pittsgrove-salem'],,
"Millstone, Somerset",/database/pd-dept/millstone-somerset,http://force.nj.com/database/pd-dept/millstone-somerset,['Error found for http://force.nj.com/database/pd-dept/millstone-somerset'],,
"Rocky Hill, Somerset",/database/pd-dept/rocky-hill-somerset,http://force.nj.com/database/pd-dept/rocky-hill-somerset,['Error found for http://force.nj.com/database/pd-dept/rocky-hill-somerset'],,
"Andover Borough, Sussex",/database/pd-dept/andover-borough-sussex,http://force.nj.com/database/pd-dept/andover-borough-sussex,['Error found for http://force.nj.com/database/pd-dept/andover-borough-sussex'],,
"Branchville Borough, Sussex",/database/pd-dept/branchville-borough-sussex,http://force.nj.com/database/pd-dept/branchville-borough-sussex,['Error found for http://force.nj.com/database/pd-dept/branchville-borough-sussex'],,
"Frankford, Sussex",/database/pd-dept/frankford-sussex,http://force.nj.com/database/pd-dept/frankford-sussex,['Error found for http://force.nj.com/database/pd-dept/frankford-sussex'],,
"Fredon, Sussex",/database/pd-dept/fredon-sussex,http://force.nj.com/database/pd-dept/fredon-sussex,['Error found for http://force.nj.com/database/pd-dept/fredon-sussex'],,
"Green, Sussex",/database/pd-dept/green-sussex,http://force.nj.com/database/pd-dept/green-sussex,['Error found for http://force.nj.com/database/pd-dept/green-sussex'],,
"Hampton, Sussex",/database/pd-dept/hampton-sussex,http://force.nj.com/database/pd-dept/hampton-sussex,['Error found for http://force.nj.com/database/pd-dept/hampton-sussex'],,
"Lafayette, Sussex",/database/pd-dept/lafayette-sussex,http://force.nj.com/database/pd-dept/lafayette-sussex,['Error found for http://force.nj.com/database/pd-dept/lafayette-sussex'],,
"Montague, Sussex",/database/pd-dept/montague-sussex,http://force.nj.com/database/pd-dept/montague-sussex,['Error found for http://force.nj.com/database/pd-dept/montague-sussex'],,
"Sandyston, Sussex",/database/pd-dept/sandyston-sussex,http://force.nj.com/database/pd-dept/sandyston-sussex,['Error found for http://force.nj.com/database/pd-dept/sandyston-sussex'],,
"Stillwater, Sussex",/database/pd-dept/stillwater-sussex,http://force.nj.com/database/pd-dept/stillwater-sussex,['Error found for http://force.nj.com/database/pd-dept/stillwater-sussex'],,
"Sussex Borough, Sussex",/database/pd-dept/sussex-borough-sussex,http://force.nj.com/database/pd-dept/sussex-borough-sussex,['Error found for http://force.nj.com/database/pd-dept/sussex-borough-sussex'],,
"Walpack Township, Sussex",/database/pd-dept/walpack-township-sussex,http://force.nj.com/database/pd-dept/walpack-township-sussex,['Error found for http://force.nj.com/database/pd-dept/walpack-township-sussex'],,
"Wantage, Sussex",/database/pd-dept/wantage-sussex,http://force.nj.com/database/pd-dept/wantage-sussex,['Error found for http://force.nj.com/database/pd-dept/wantage-sussex'],,
"Allamuchy, Warren",/database/pd-dept/allamuchy-warren,http://force.nj.com/database/pd-dept/allamuchy-warren,['Error found for http://force.nj.com/database/pd-dept/allamuchy-warren'],,
"Franklin, Warren",/database/pd-dept/franklin-warren,http://force.nj.com/database/pd-dept/franklin-warren,['Error found for http://force.nj.com/database/pd-dept/franklin-warren'],,
"Frelinghuysen, Warren",/database/pd-dept/frelinghuysen-warren,http://force.nj.com/database/pd-dept/frelinghuysen-warren,['Error found for http://force.nj.com/database/pd-dept/frelinghuysen-warren'],,
"Hardwick Township, Warren",/database/pd-dept/hardwick-township-warren,http://force.nj.com/database/pd-dept/hardwick-township-warren,['Error found for http://force.nj.com/database/pd-dept/hardwick-township-warren'],,
"Harmony, Warren",/database/pd-dept/harmony-warren,http://force.nj.com/database/pd-dept/harmony-warren,['Error found for http://force.nj.com/database/pd-dept/harmony-warren'],,
"Hope, Warren",/database/pd-dept/hope-warren,http://force.nj.com/database/pd-dept/hope-warren,['Error found for http://force.nj.com/database/pd-dept/hope-warren'],,
"Knowlton Township, Warren",/database/pd-dept/knowlton-township-warren,http://force.nj.com/database/pd-dept/knowlton-township-warren,['Error found for http://force.nj.com/database/pd-dept/knowlton-township-warren'],,
"Liberty Township, Warren",/database/pd-dept/liberty-township-warren,http://force.nj.com/database/pd-dept/liberty-township-warren,['Error found for http://force.nj.com/database/pd-dept/liberty-township-warren'],,
"Oxford, Warren",/database/pd-dept/oxford-warren,http://force.nj.com/database/pd-dept/oxford-warren,['Error found for http://force.nj.com/database/pd-dept/oxford-warren'],,
"White, Warren",/database/pd-dept/white-warren,http://force.nj.com/database/pd-dept/white-warren,['Error found for http://force.nj.com/database/pd-dept/white-warren'],,
New Jersey State Police (NJSP),/database/pd-dept/njsp,http://force.nj.com/database/pd-dept/njsp,['No numbers found'],,
