dept_name,relative_url,full_url,likelihood_force_by_pop,likelihood_force_by_arrests,no_data_found,LA_numbers,NYC_numbers,Chicago_numbers
"Aberdeen, Monmouth",/database/pd-dept/aberdeen-monmouth,http://force.nj.com/database/pd-dept/aberdeen-monmouth,294%,42%,,4,15,16
"Absecon, Atlantic",/database/pd-dept/absecon-atlantic,http://force.nj.com/database/pd-dept/absecon-atlantic,583%,68%,,0,9,13
"Allendale, Bergen",/database/pd-dept/allendale-bergen,http://force.nj.com/database/pd-dept/allendale-bergen,,8%,,0,2,3
"Allenhurst, Monmouth",/database/pd-dept/allenhurst-monmouth,http://force.nj.com/database/pd-dept/allenhurst-monmouth,,,,0,4,4
"Allentown, Monmouth",/database/pd-dept/allentown-monmouth,http://force.nj.com/database/pd-dept/allentown-monmouth,,,,0,1,1
"Alpine, Bergen",/database/pd-dept/alpine-bergen,http://force.nj.com/database/pd-dept/alpine-bergen,,,,0,2,2
"Andover Township, Sussex",/database/pd-dept/andover-township-sussex,http://force.nj.com/database/pd-dept/andover-township-sussex,,2%,,0,5,5
"Asbury Park, Monmouth",/database/pd-dept/asbury-park-monmouth,http://force.nj.com/database/pd-dept/asbury-park-monmouth,96%,39%,,24,84,85
"Atlantic City, Atlantic",/database/pd-dept/atlantic-city-atlantic,http://force.nj.com/database/pd-dept/atlantic-city-atlantic,35%,3%,,90,216,220
"Atlantic Highlands, Monmouth",/database/pd-dept/atlantic-highlands-monmouth,http://force.nj.com/database/pd-dept/atlantic-highlands-monmouth,335%,69%,,0,3,4
"Audubon, Camden",/database/pd-dept/audubon-camden,http://force.nj.com/database/pd-dept/audubon-camden,,,,0,2,2
"Avalon, Cape May",/database/pd-dept/avalon-cape-may,http://force.nj.com/database/pd-dept/avalon-cape-may,,,,0,4,4
"Avon-By-the-Sea, Monmouth",/database/pd-dept/avon-by-the-sea-monmouth,http://force.nj.com/database/pd-dept/avon-by-the-sea-monmouth,,,,0,7,7
"Barnegat, Ocean",/database/pd-dept/barnegat-ocean,http://force.nj.com/database/pd-dept/barnegat-ocean,216%,9%,,0,20,23
"Barrington, Camden",/database/pd-dept/barrington-camden,http://force.nj.com/database/pd-dept/barrington-camden,1147%,4%,,0,11,11
"Bay Head, Ocean",/database/pd-dept/bay-head-ocean,http://force.nj.com/database/pd-dept/bay-head-ocean,,,,0,1,1
"Bayonne, Hudson",/database/pd-dept/bayonne-hudson,http://force.nj.com/database/pd-dept/bayonne-hudson,108%,3%,,11,88,92
"Beach Haven, Ocean",/database/pd-dept/beach-haven-ocean,http://force.nj.com/database/pd-dept/beach-haven-ocean,78%,286%,,0,7,8
"Beachwood, Ocean",/database/pd-dept/beachwood-ocean,http://force.nj.com/database/pd-dept/beachwood-ocean,717%,63%,,0,14,15
"Bedminster, Somerset",/database/pd-dept/bedminster-somerset,http://force.nj.com/database/pd-dept/bedminster-somerset,,353%,,0,1,2
"Belleville, Essex",/database/pd-dept/belleville-essex,http://force.nj.com/database/pd-dept/belleville-essex,76%,89%,,12,64,66
"Bellmawr, Camden",/database/pd-dept/bellmawr-camden,http://force.nj.com/database/pd-dept/bellmawr-camden,231%,47%,,0,7,13
"Belmar, Monmouth",/database/pd-dept/belmar-monmouth,http://force.nj.com/database/pd-dept/belmar-monmouth,218%,28%,,2,31,32
"Belvidere, Warren",/database/pd-dept/belvidere-warren,http://force.nj.com/database/pd-dept/belvidere-warren,,,,0,1,1
"Bergenfield, Bergen",/database/pd-dept/bergenfield-bergen,http://force.nj.com/database/pd-dept/bergenfield-bergen,40%,17%,,0,13,14
"Berkeley Heights, Union",/database/pd-dept/berkeley-heights-union,http://force.nj.com/database/pd-dept/berkeley-heights-union,,,,0,1,1
"Berkeley, Ocean",/database/pd-dept/berkeley-ocean,http://force.nj.com/database/pd-dept/berkeley-ocean,41%,76%,,1,23,24
"Berlin Borough, Camden",/database/pd-dept/berlin-borough-camden,http://force.nj.com/database/pd-dept/berlin-borough-camden,529%,14%,,1,10,11
"Berlin Township, Camden",/database/pd-dept/berlin-township-camden,http://force.nj.com/database/pd-dept/berlin-township-camden,36%,31%,,0,6,6
"Bernards, Somerset",/database/pd-dept/bernards-somerset,http://force.nj.com/database/pd-dept/bernards-somerset,779%,10%,,0,14,16
"Bernardsville, Somerset",/database/pd-dept/bernardsville-somerset,http://force.nj.com/database/pd-dept/bernardsville-somerset,,,,0,4,4
"Beverly, Burlington",/database/pd-dept/beverly-burlington,http://force.nj.com/database/pd-dept/beverly-burlington,924%,53%,,2,11,12
"Blairstown, Warren",/database/pd-dept/blairstown-warren,http://force.nj.com/database/pd-dept/blairstown-warren,,,,0,2,2
"Bloomfield, Essex",/database/pd-dept/bloomfield-essex,http://force.nj.com/database/pd-dept/bloomfield-essex,252%,83%,,15,60,63
"Bloomingdale, Passaic",/database/pd-dept/bloomingdale-passaic,http://force.nj.com/database/pd-dept/bloomingdale-passaic,642%,79%,,0,8,9
"Bogota, Bergen",/database/pd-dept/bogota-bergen,http://force.nj.com/database/pd-dept/bogota-bergen,68%,52%,,0,8,9
"Boonton, Morris",/database/pd-dept/boonton-morris,http://force.nj.com/database/pd-dept/boonton-morris,747%,88%,,0,10,10
"Boonton Township, Morris",/database/pd-dept/boonton-township-morris,http://force.nj.com/database/pd-dept/boonton-township-morris,,,,0,3,3
"Bordentown Township, Burlington",/database/pd-dept/bordentown-township-burlington,http://force.nj.com/database/pd-dept/bordentown-township-burlington,367%,5%,,2,18,20
"Bordentown City, Burlington",/database/pd-dept/bordentown-burlington,http://force.nj.com/database/pd-dept/bordentown-burlington,254%,35%,,0,6,6
"Bound Brook, Somerset",/database/pd-dept/bound-brook-somerset,http://force.nj.com/database/pd-dept/bound-brook-somerset,527%,36%,,3,16,16
"Bradley Beach, Monmouth",/database/pd-dept/bradley-beach-monmouth,http://force.nj.com/database/pd-dept/bradley-beach-monmouth,925%,54%,,1,12,14
"Branchburg, Somerset",/database/pd-dept/branchburg-somerset,http://force.nj.com/database/pd-dept/branchburg-somerset,150%,37%,,0,8,9
"Brick, Ocean",/database/pd-dept/brick-ocean,http://force.nj.com/database/pd-dept/brick-ocean,457%,39%,,3,64,67
"Bridgeton City, Cumberland",/database/pd-dept/bridgeton-city-cumberland,http://force.nj.com/database/pd-dept/bridgeton-city-cumberland,1%,39%,,19,41,56
"Bridgewater, Somerset",/database/pd-dept/bridgewater-somerset,http://force.nj.com/database/pd-dept/bridgewater-somerset,994%,15%,,0,36,37
"Brielle, Monmouth",/database/pd-dept/brielle-monmouth,http://force.nj.com/database/pd-dept/brielle-monmouth,,681%,,0,2,2
"Brigantine Beach, Atlantic",/database/pd-dept/brigantine-beach-atlantic,http://force.nj.com/database/pd-dept/brigantine-beach-atlantic,974%,50%,,0,13,13
"Brooklawn, Camden",/database/pd-dept/brooklawn-camden,http://force.nj.com/database/pd-dept/brooklawn-camden,427%,4%,,2,9,10
"Buena Borough, Atlantic",/database/pd-dept/buena-borough-atlantic,http://force.nj.com/database/pd-dept/buena-borough-atlantic,838%,145%,,1,3,7
"Burlington City, Burlington",/database/pd-dept/burlington-city-burlington,http://force.nj.com/database/pd-dept/burlington-city-burlington,497%,27%,,2,29,30
"Burlington Township, Burlington",/database/pd-dept/burlington-town-burlington,http://force.nj.com/database/pd-dept/burlington-town-burlington,215%,10%,,0,26,26
"Butler, Morris",/database/pd-dept/butler-morris,http://force.nj.com/database/pd-dept/butler-morris,,43%,,0,6,6
"Byram, Sussex",/database/pd-dept/byram-sussex,http://force.nj.com/database/pd-dept/byram-sussex,3922%,7%,,1,5,6
"Caldwell, Essex",/database/pd-dept/caldwell-essex,http://force.nj.com/database/pd-dept/caldwell-essex,101%,17%,,0,15,15
"Camden, Camden",/database/pd-dept/camden-camden,http://force.nj.com/database/pd-dept/camden-camden,8%,447%,,132,307,325
"Cape May & Cape May Point & West Cape May, Cape May",/database/pd-dept/cape-may-cape-may,http://force.nj.com/database/pd-dept/cape-may-cape-may,373%,75%,,1,15,16
"Carlstadt, Bergen",/database/pd-dept/carlstadt-bergen,http://force.nj.com/database/pd-dept/carlstadt-bergen,,36%,,0,4,5
"Carney's Point, Salem",/database/pd-dept/carney-s-point-salem,http://force.nj.com/database/pd-dept/carney-s-point-salem,238%,45%,,1,13,14
"Carteret, Middlesex",/database/pd-dept/carteret-middlesex,http://force.nj.com/database/pd-dept/carteret-middlesex,103%,38%,,5,34,36
"Cedar Grove, Essex",/database/pd-dept/cedar-grove-essex,http://force.nj.com/database/pd-dept/cedar-grove-essex,359%,14%,,0,7,8
"Chatham Borough, Morris",/database/pd-dept/chatham-borough-morris,http://force.nj.com/database/pd-dept/chatham-borough-morris,502%,78%,,0,6,6
"Chatham Township, Morris",/database/pd-dept/chatham-township-morris,http://force.nj.com/database/pd-dept/chatham-township-morris,,,,0,0,0
"Cherry Hill, Camden",/database/pd-dept/cherry-hill-camden,http://force.nj.com/database/pd-dept/cherry-hill-camden,464%,21%,,3,79,80
"Chesilhurst, Camden",/database/pd-dept/chesilhurst-camden,http://force.nj.com/database/pd-dept/chesilhurst-camden,,,,0,2,2
"Chester Township & Chester Borough, Morris",/database/pd-dept/chester-township-morris,http://force.nj.com/database/pd-dept/chester-township-morris,,,,0,4,5
"Chesterfield, Burlington",/database/pd-dept/chesterfield-burlington,http://force.nj.com/database/pd-dept/chesterfield-burlington,,,,0,2,2
"Cinnaminson, Burlington",/database/pd-dept/cinnaminson-burlington,http://force.nj.com/database/pd-dept/cinnaminson-burlington,568%,45%,,1,15,15
"Clark, Union",/database/pd-dept/clark-union,http://force.nj.com/database/pd-dept/clark-union,2046%,23%,,1,20,21
"Clayton, Gloucester",/database/pd-dept/clayton-gloucester,http://force.nj.com/database/pd-dept/clayton-gloucester,176%,12%,,0,5,8
"Clementon, Camden",/database/pd-dept/clementon-camden,http://force.nj.com/database/pd-dept/clementon-camden,148%,106%,,0,3,4
"Cliffside Park, Bergen",/database/pd-dept/cliffside-park-bergen,http://force.nj.com/database/pd-dept/cliffside-park-bergen,50%,49%,,1,26,28
"Clifton, Passaic",/database/pd-dept/clifton-passaic,http://force.nj.com/database/pd-dept/clifton-passaic,118%,29%,,10,74,76
"Clinton Township, Hunterdon",/database/pd-dept/clinton-township-hunterdon,http://force.nj.com/database/pd-dept/clinton-township-hunterdon,52%,63%,,0,10,10
"Closter, Bergen",/database/pd-dept/closter-bergen,http://force.nj.com/database/pd-dept/closter-bergen,,12%,,0,4,4
"Collingswood, Camden",/database/pd-dept/collingswood-camden,http://force.nj.com/database/pd-dept/collingswood-camden,257%,16%,,0,9,9
"Colts Neck, Monmouth",/database/pd-dept/colts-neck-monmouth,http://force.nj.com/database/pd-dept/colts-neck-monmouth,,,,0,2,2
"Cranbury, Middlesex",/database/pd-dept/cranbury-middlesex,http://force.nj.com/database/pd-dept/cranbury-middlesex,,15%,,0,7,7
"Cranford, Union",/database/pd-dept/cranford-union,http://force.nj.com/database/pd-dept/cranford-union,1421%,14%,,0,20,21
"Cresskill, Bergen",/database/pd-dept/cresskill-bergen,http://force.nj.com/database/pd-dept/cresskill-bergen,2255%,123%,,0,7,7
"Deal, Interlaken & Loch Arbour Village, Monmouth",/database/pd-dept/deal-monmouth,http://force.nj.com/database/pd-dept/deal-monmouth,3199%,33%,,0,7,7
"Delanco, Burlington",/database/pd-dept/delanco-burlington,http://force.nj.com/database/pd-dept/delanco-burlington,312%,34%,,0,6,7
"Delaware, Hunterdon",/database/pd-dept/delaware-hunterdon,http://force.nj.com/database/pd-dept/delaware-hunterdon,,,,0,2,2
"Delran, Burlington",/database/pd-dept/delran-burlington,http://force.nj.com/database/pd-dept/delran-burlington,276%,25%,,0,15,16
"Demarest, Bergen",/database/pd-dept/demarest-bergen,http://force.nj.com/database/pd-dept/demarest-bergen,,,,0,1,1
"Denville, Morris",/database/pd-dept/denville-morris,http://force.nj.com/database/pd-dept/denville-morris,237%,40%,,0,8,8
"Deptford, Gloucester",/database/pd-dept/deptford-gloucester,http://force.nj.com/database/pd-dept/deptford-gloucester,181%,8%,,6,28,35
"Dover, Morris",/database/pd-dept/dover-morris,http://force.nj.com/database/pd-dept/dover-morris,33%,1%,,6,19,22
"Dumont, Bergen",/database/pd-dept/dumont-bergen,http://force.nj.com/database/pd-dept/dumont-bergen,74%,28%,,0,8,8
"Dunellen, Middlesex",/database/pd-dept/dunellen-middlesex,http://force.nj.com/database/pd-dept/dunellen-middlesex,10%,31%,,3,15,15
"East Brunswick, Middlesex",/database/pd-dept/east-brunswick-middlesex,http://force.nj.com/database/pd-dept/east-brunswick-middlesex,308%,3%,,2,45,45
"East Greenwich, Gloucester",/database/pd-dept/east-greenwich-gloucester,http://force.nj.com/database/pd-dept/east-greenwich-gloucester,340%,39%,,0,5,6
"East Hanover, Morris",/database/pd-dept/east-hanover-morris,http://force.nj.com/database/pd-dept/east-hanover-morris,,54%,,0,4,5
"East Newark, Hudson",/database/pd-dept/east-newark-hudson,http://force.nj.com/database/pd-dept/east-newark-hudson,,,,0,1,2
"East Orange, Essex",/database/pd-dept/east-orange-essex,http://force.nj.com/database/pd-dept/east-orange-essex,238%,454%,,13,113,114
"East Rutherford, Bergen",/database/pd-dept/east-rutherford-bergen,http://force.nj.com/database/pd-dept/east-rutherford-bergen,113%,39%,,0,9,9
"East Windsor, Mercer",/database/pd-dept/east-windsor-mercer,http://force.nj.com/database/pd-dept/east-windsor-mercer,125%,46%,,2,17,18
"Eastampton, Burlington",/database/pd-dept/eastampton-burlington,http://force.nj.com/database/pd-dept/eastampton-burlington,,,,0,4,4
"Eatontown, Monmouth",/database/pd-dept/eatontown-monmouth,http://force.nj.com/database/pd-dept/eatontown-monmouth,482%,2%,,4,18,21
"Edgewater Park, Burlington",/database/pd-dept/edgewater-park-burlington,http://force.nj.com/database/pd-dept/edgewater-park-burlington,107%,3%,,0,11,11
"Edgewater, Bergen",/database/pd-dept/edgewater-bergen,http://force.nj.com/database/pd-dept/edgewater-bergen,4%,25%,,1,14,14
"Edison, Middlesex",/database/pd-dept/edison-middlesex,http://force.nj.com/database/pd-dept/edison-middlesex,161%,5%,,6,91,93
"Egg Harbor City, Atlantic",/database/pd-dept/egg-harbor-city-atlantic,http://force.nj.com/database/pd-dept/egg-harbor-city-atlantic,239%,154%,,0,9,12
"Egg Harbor Township, Atlantic",/database/pd-dept/egg-harbor-township-atlantic,http://force.nj.com/database/pd-dept/egg-harbor-township-atlantic,390%,34%,,4,57,60
"Elizabeth, Union",/database/pd-dept/elizabeth-union,http://force.nj.com/database/pd-dept/elizabeth-union,76%,71%,,49,155,185
"Elk, Gloucester",/database/pd-dept/elk-gloucester,http://force.nj.com/database/pd-dept/elk-gloucester,,,,0,1,3
"Elmwood Park, Bergen",/database/pd-dept/elmwood-park-bergen,http://force.nj.com/database/pd-dept/elmwood-park-bergen,341%,111%,,0,21,21
"Emerson, Bergen",/database/pd-dept/emerson-bergen,http://force.nj.com/database/pd-dept/emerson-bergen,,,,0,0,0
"Englewood Cliffs, Bergen",/database/pd-dept/englewood-cliffs-bergen,http://force.nj.com/database/pd-dept/englewood-cliffs-bergen,,739%,,0,9,9
"Englewood, Bergen",/database/pd-dept/englewood-bergen,http://force.nj.com/database/pd-dept/englewood-bergen,187%,28%,,0,29,30
"Englishtown, Monmouth",/database/pd-dept/englishtown-monmouth,http://force.nj.com/database/pd-dept/englishtown-monmouth,430%,27%,,0,4,4
"Essex Fells, Essex",/database/pd-dept/essex-fells-essex,http://force.nj.com/database/pd-dept/essex-fells-essex,,,,0,1,1
"Evesham, Burlington",/database/pd-dept/evesham-burlington,http://force.nj.com/database/pd-dept/evesham-burlington,239%,24%,,14,56,56
"Ewing, Mercer",/database/pd-dept/ewing-mercer,http://force.nj.com/database/pd-dept/ewing-mercer,371%,12%,,4,45,48
"Fair Haven, Monmouth",/database/pd-dept/fair-haven-monmouth,http://force.nj.com/database/pd-dept/fair-haven-monmouth,,,,0,6,7
"Fairfield, Essex",/database/pd-dept/fairfield-essex,http://force.nj.com/database/pd-dept/fairfield-essex,,57%,,0,20,21
"Fairlawn, Bergen",/database/pd-dept/fairlawn-bergen,http://force.nj.com/database/pd-dept/fairlawn-bergen,498%,30%,,0,18,19
"Fairview, Bergen",/database/pd-dept/fairview-bergen,http://force.nj.com/database/pd-dept/fairview-bergen,72%,42%,,0,10,11
"Fanwood, Union",/database/pd-dept/fanwood-union,http://force.nj.com/database/pd-dept/fanwood-union,390%,13%,,0,5,5
"Far Hills, Somerset",/database/pd-dept/far-hills-somerset,http://force.nj.com/database/pd-dept/far-hills-somerset,,,,0,1,1
"Flemington, Hunterdon",/database/pd-dept/flemington-hunterdon,http://force.nj.com/database/pd-dept/flemington-hunterdon,223%,2%,,0,9,9
"Florence, Burlington",/database/pd-dept/florence-burlington,http://force.nj.com/database/pd-dept/florence-burlington,324%,17%,,0,8,9
"Florham Park, Morris",/database/pd-dept/florham-park-morris,http://force.nj.com/database/pd-dept/florham-park-morris,273%,43%,,0,8,8
"Fort Lee, Bergen",/database/pd-dept/fort-lee-bergen,http://force.nj.com/database/pd-dept/fort-lee-bergen,307%,5%,,2,42,43
"Franklin, Sussex",/database/pd-dept/franklin-sussex,http://force.nj.com/database/pd-dept/franklin-sussex,15%,28%,,0,9,9
"Franklin Lakes, Bergen",/database/pd-dept/franklin-lakes-bergen,http://force.nj.com/database/pd-dept/franklin-lakes-bergen,,123%,,0,6,6
"Franklin, Gloucester",/database/pd-dept/franklin-gloucester,http://force.nj.com/database/pd-dept/franklin-gloucester,20%,56%,,1,17,17
"Franklin, Somerset",/database/pd-dept/franklin-somerset,http://force.nj.com/database/pd-dept/franklin-somerset,202%,9%,,1,45,49
"Freehold Borough, Monmouth",/database/pd-dept/freehold-borough-monmouth,http://force.nj.com/database/pd-dept/freehold-borough-monmouth,110%,44%,,1,12,17
"Freehold Township, Monmouth",/database/pd-dept/freehold-township-monmouth,http://force.nj.com/database/pd-dept/freehold-township-monmouth,454%,89%,,0,23,25
"Frenchtown, Hunterdon",/database/pd-dept/frenchtown-hunterdon,http://force.nj.com/database/pd-dept/frenchtown-hunterdon,,,,0,2,2
"Galloway, Atlantic",/database/pd-dept/galloway-atlantic,http://force.nj.com/database/pd-dept/galloway-atlantic,173%,19%,,4,43,43
"Garfield, Bergen",/database/pd-dept/garfield-bergen,http://force.nj.com/database/pd-dept/garfield-bergen,95%,24%,,2,28,29
"Garwood, Union",/database/pd-dept/garwood-union,http://force.nj.com/database/pd-dept/garwood-union,,92%,,0,6,6
"Gibbsboro, Camden",/database/pd-dept/gibbsboro-camden,http://force.nj.com/database/pd-dept/gibbsboro-camden,,1%,,0,5,6
"Glassboro, Gloucester",/database/pd-dept/glassboro-gloucester,http://force.nj.com/database/pd-dept/glassboro-gloucester,354%,77%,,25,40,41
"Glen Ridge, Essex",/database/pd-dept/glen-ridge-essex,http://force.nj.com/database/pd-dept/glen-ridge-essex,2498%,67%,,0,8,8
"Glen Rock, Bergen",/database/pd-dept/glen-rock-bergen,http://force.nj.com/database/pd-dept/glen-rock-bergen,,31%,,0,11,11
"Gloucester City, Camden",/database/pd-dept/gloucester-city-camden,http://force.nj.com/database/pd-dept/gloucester-city-camden,449%,137%,,4,14,18
"Gloucester Township, Camden",/database/pd-dept/gloucester-township-camden,http://force.nj.com/database/pd-dept/gloucester-township-camden,270%,25%,,23,71,76
"Green Brook, Somerset",/database/pd-dept/green-brook-somerset,http://force.nj.com/database/pd-dept/green-brook-somerset,293%,32%,,1,11,11
"Greenwich, Gloucester",/database/pd-dept/greenwich-gloucester,http://force.nj.com/database/pd-dept/greenwich-gloucester,501%,4%,,0,8,8
"Greenwich, Warren",/database/pd-dept/greenwich-warren,http://force.nj.com/database/pd-dept/greenwich-warren,,,,0,0,1
"Guttenberg, Hudson",/database/pd-dept/guttenberg-hudson,http://force.nj.com/database/pd-dept/guttenberg-hudson,92%,10%,,1,11,12
"Hackensack, Bergen",/database/pd-dept/hackensack-bergen,http://force.nj.com/database/pd-dept/hackensack-bergen,189%,216%,,3,65,68
"Hackettstown, Warren",/database/pd-dept/hackettstown-warren,http://force.nj.com/database/pd-dept/hackettstown-warren,,,,0,5,5
"Haddon Heights, Camden",/database/pd-dept/haddon-heights-camden,http://force.nj.com/database/pd-dept/haddon-heights-camden,,18%,,0,2,3
"Haddon & Audubon Park, Camden",/database/pd-dept/haddon-camden,http://force.nj.com/database/pd-dept/haddon-camden,2052%,59%,,0,10,10
"Haddonfield & Tavistock, Camden",/database/pd-dept/haddonfield-camden,http://force.nj.com/database/pd-dept/haddonfield-camden,,191%,,0,3,3
"Haledon, Passaic",/database/pd-dept/haledon-passaic,http://force.nj.com/database/pd-dept/haledon-passaic,869%,242%,,5,15,15
"Hamburg, Sussex",/database/pd-dept/hamburg-sussex,http://force.nj.com/database/pd-dept/hamburg-sussex,,32%,,0,6,6
"Hamilton, Atlantic",/database/pd-dept/hamilton-atlantic,http://force.nj.com/database/pd-dept/hamilton-atlantic,100%,11%,,6,29,34
"Hamilton, Mercer",/database/pd-dept/hamilton-mercer,http://force.nj.com/database/pd-dept/hamilton-mercer,304%,23%,,16,105,109
"Hammonton, Atlantic",/database/pd-dept/hammonton-atlantic,http://force.nj.com/database/pd-dept/hammonton-atlantic,9%,40%,,0,16,16
"Hanover, Morris",/database/pd-dept/hanover-morris,http://force.nj.com/database/pd-dept/hanover-morris,4005%,38%,,1,11,11
"Harding, Morris",/database/pd-dept/harding-morris,http://force.nj.com/database/pd-dept/harding-morris,,109%,,0,3,3
"Hardyston, Sussex",/database/pd-dept/hardyston-sussex,http://force.nj.com/database/pd-dept/hardyston-sussex,,16%,,0,2,2
"Harrington Park, Bergen",/database/pd-dept/harrington-park-bergen,http://force.nj.com/database/pd-dept/harrington-park-bergen,,,,0,0,0
"Harrison, Gloucester",/database/pd-dept/harrison-gloucester,http://force.nj.com/database/pd-dept/harrison-gloucester,,101%,,0,6,7
"Harrison, Hudson",/database/pd-dept/harrison-hudson,http://force.nj.com/database/pd-dept/harrison-hudson,23%,65%,,0,21,21
"Harvey Cedars, Ocean",/database/pd-dept/harvey-cedars-ocean,http://force.nj.com/database/pd-dept/harvey-cedars-ocean,,511%,,0,2,2
"Hasbrouck Heights, Bergen",/database/pd-dept/hasbrouck-heights-bergen,http://force.nj.com/database/pd-dept/hasbrouck-heights-bergen,556%,17%,,0,9,10
"Haworth, Bergen",/database/pd-dept/haworth-bergen,http://force.nj.com/database/pd-dept/haworth-bergen,,,,0,2,2
"Hawthorne, Passaic",/database/pd-dept/hawthorne-passaic,http://force.nj.com/database/pd-dept/hawthorne-passaic,211%,39%,,2,11,11
"Hazlet, Monmouth",/database/pd-dept/hazlet-monmouth,http://force.nj.com/database/pd-dept/hazlet-monmouth,73%,47%,,0,12,13
"Helmetta, Middlesex",/database/pd-dept/helmetta-middlesex,http://force.nj.com/database/pd-dept/helmetta-middlesex,,26%,,1,2,2
"High Bridge, Hunterdon",/database/pd-dept/high-bridge-hunterdon,http://force.nj.com/database/pd-dept/high-bridge-hunterdon,,38%,,0,4,4
"Highland Park, Middlesex",/database/pd-dept/highland-park-middlesex,http://force.nj.com/database/pd-dept/highland-park-middlesex,1033%,51%,,0,9,10
"Highlands, Monmouth",/database/pd-dept/highlands-monmouth,http://force.nj.com/database/pd-dept/highlands-monmouth,163%,52%,,0,8,8
"Hightstown, Mercer",/database/pd-dept/hightstown-mercer,http://force.nj.com/database/pd-dept/hightstown-mercer,102%,30%,,1,8,8
"Hillsborough, Somerset",/database/pd-dept/hillsborough-somerset,http://force.nj.com/database/pd-dept/hillsborough-somerset,143%,10%,,0,22,24
"Hillsdale, Bergen",/database/pd-dept/hillsdale-bergen,http://force.nj.com/database/pd-dept/hillsdale-bergen,,304%,,0,6,6
"Hillside, Union",/database/pd-dept/hillside-union,http://force.nj.com/database/pd-dept/hillside-union,75%,74%,,3,29,29
"Ho-Ho-Kus, Bergen",/database/pd-dept/ho-ho-kus-bergen,http://force.nj.com/database/pd-dept/ho-ho-kus-bergen,,10%,,0,3,3
"Hoboken, Hudson",/database/pd-dept/hoboken-hudson,http://force.nj.com/database/pd-dept/hoboken-hudson,1543%,23%,,15,95,97
"Holmdel, Monmouth",/database/pd-dept/holmdel-monmouth,http://force.nj.com/database/pd-dept/holmdel-monmouth,349%,64%,,0,11,11
"Hopatcong, Sussex",/database/pd-dept/hopatcong-sussex,http://force.nj.com/database/pd-dept/hopatcong-sussex,375%,78%,,3,18,18
"Hopewell Township & Hopewell Borough, Mercer",/database/pd-dept/hopewell-township-mercer,http://force.nj.com/database/pd-dept/hopewell-township-mercer,69%,57%,,0,16,16
"Howell, Monmouth",/database/pd-dept/howell-monmouth,http://force.nj.com/database/pd-dept/howell-monmouth,396%,9%,,9,44,45
"Independence, Warren",/database/pd-dept/independence-warren,http://force.nj.com/database/pd-dept/independence-warren,,,,0,3,3
"Irvington, Essex",/database/pd-dept/irvington-essex,http://force.nj.com/database/pd-dept/irvington-essex,27%,46%,,8,97,107
"Island Heights, Ocean",/database/pd-dept/island-heights-ocean,http://force.nj.com/database/pd-dept/island-heights-ocean,,,,0,1,1
"Jackson, Ocean",/database/pd-dept/jackson-ocean,http://force.nj.com/database/pd-dept/jackson-ocean,180%,13%,,5,58,58
