dept_name,relative_url,full_url,likelihood_force_by_pop,likelihood_force_by_arrests,no_data_found,LA_numbers,NYC_numbers,Chicago_numbers
"Jamesburg, Middlesex",/database/pd-dept/jamesburg-middlesex,http://force.nj.com/database/pd-dept/jamesburg-middlesex,15%,43%,,0,7,8
"Jefferson, Morris",/database/pd-dept/jefferson-morris,http://force.nj.com/database/pd-dept/jefferson-morris,270%,12%,,0,19,21
"Jersey City, Hudson",/database/pd-dept/jersey-city-hudson,http://force.nj.com/database/pd-dept/jersey-city-hudson,489%,192%,,13,249,257
"Keansburg, Monmouth",/database/pd-dept/keansburg-monmouth,http://force.nj.com/database/pd-dept/keansburg-monmouth,306%,90%,,1,16,21
"Kearny, Hudson",/database/pd-dept/kearny-hudson,http://force.nj.com/database/pd-dept/kearny-hudson,151%,7%,,0,27,40
"Kenilworth, Union",/database/pd-dept/kenilworth-union,http://force.nj.com/database/pd-dept/kenilworth-union,221%,22%,,0,5,6
"Keyport, Monmouth",/database/pd-dept/keyport-monmouth,http://force.nj.com/database/pd-dept/keyport-monmouth,,67%,,0,5,5
"Kinnelon, Morris",/database/pd-dept/kinnelon-morris,http://force.nj.com/database/pd-dept/kinnelon-morris,,130%,,0,4,4
"Lacey, Ocean",/database/pd-dept/lacey-ocean,http://force.nj.com/database/pd-dept/lacey-ocean,1439%,105%,,5,26,27
"Lake Como, Monmouth",/database/pd-dept/lake-como-monmouth,http://force.nj.com/database/pd-dept/lake-como-monmouth,340%,182%,,3,8,9
"Lakehurst, Ocean",/database/pd-dept/lakehurst-ocean,http://force.nj.com/database/pd-dept/lakehurst-ocean,575%,211%,,0,7,8
"Lakewood, Ocean",/database/pd-dept/lakewood-ocean,http://force.nj.com/database/pd-dept/lakewood-ocean,2104%,138%,,26,75,81
"Lambertville, Hunterdon",/database/pd-dept/lambertville-hunterdon,http://force.nj.com/database/pd-dept/lambertville-hunterdon,,,,0,4,4
"Laurel Springs, Camden",/database/pd-dept/laurel-springs-camden,http://force.nj.com/database/pd-dept/laurel-springs-camden,,,,0,1,2
"Lavallette, Ocean",/database/pd-dept/lavallette-ocean,http://force.nj.com/database/pd-dept/lavallette-ocean,,94%,,0,5,5
"Lawrence, Mercer",/database/pd-dept/lawrence-mercer,http://force.nj.com/database/pd-dept/lawrence-mercer,521%,38%,,10,46,49
"Lebanon Township, Hunterdon",/database/pd-dept/lebanon-hunterdon,http://force.nj.com/database/pd-dept/lebanon-hunterdon,,,,0,1,1
"Leonia, Bergen",/database/pd-dept/leonia-bergen,http://force.nj.com/database/pd-dept/leonia-bergen,,224%,,0,5,5
"Lincoln Park, Morris",/database/pd-dept/lincoln-park-morris,http://force.nj.com/database/pd-dept/lincoln-park-morris,,,,0,8,8
"Linden, Union",/database/pd-dept/linden-union,http://force.nj.com/database/pd-dept/linden-union,64%,38%,,6,42,46
"Lindenwold, Camden",/database/pd-dept/lindenwold-camden,http://force.nj.com/database/pd-dept/lindenwold-camden,70%,37%,,15,34,36
"Linwood, Atlantic",/database/pd-dept/linwood-atlantic,http://force.nj.com/database/pd-dept/linwood-atlantic,882%,24%,,0,6,6
"Little Egg Harbor, Ocean",/database/pd-dept/little-egg-harbor-ocean,http://force.nj.com/database/pd-dept/little-egg-harbor-ocean,4500%,31%,,5,32,32
"Little Falls, Passaic",/database/pd-dept/little-falls-passaic,http://force.nj.com/database/pd-dept/little-falls-passaic,131%,2%,,1,9,9
"Little Ferry, Bergen",/database/pd-dept/little-ferry-bergen,http://force.nj.com/database/pd-dept/little-ferry-bergen,357%,103%,,0,10,10
"Little Silver, Monmouth",/database/pd-dept/little-silver-monmouth,http://force.nj.com/database/pd-dept/little-silver-monmouth,,19%,,0,5,5
"Livingston, Essex",/database/pd-dept/livingston-essex,http://force.nj.com/database/pd-dept/livingston-essex,3424%,31%,,2,21,22
"Lodi, Bergen",/database/pd-dept/lodi-bergen,http://force.nj.com/database/pd-dept/lodi-bergen,22%,42%,,1,21,24
"Logan, Gloucester",/database/pd-dept/logan-gloucester,http://force.nj.com/database/pd-dept/logan-gloucester,201%,,,0,6,9
"Long Beach  & Barnegat Light, Ocean",/database/pd-dept/long-beach-ocean,http://force.nj.com/database/pd-dept/long-beach-ocean,,,,0,12,12
"Long Branch, Monmouth",/database/pd-dept/long-branch-monmouth,http://force.nj.com/database/pd-dept/long-branch-monmouth,152%,9%,,16,69,75
"Long Hill, Morris",/database/pd-dept/long-hill-morris,http://force.nj.com/database/pd-dept/long-hill-morris,,,,0,3,3
"Longport, Atlantic",/database/pd-dept/longport-atlantic,http://force.nj.com/database/pd-dept/longport-atlantic,,,,0,2,3
"Lopatcong, Warren",/database/pd-dept/lopatcong-warren,http://force.nj.com/database/pd-dept/lopatcong-warren,,274%,,0,6,7
"Lower Alloways Creek & Elsinboro, Salem",/database/pd-dept/lower-alloways-creek-salem,http://force.nj.com/database/pd-dept/lower-alloways-creek-salem,,,,0,2,2
"Lower Township, Cape May",/database/pd-dept/lower-township-cape-may,http://force.nj.com/database/pd-dept/lower-township-cape-may,163%,47%,,1,28,30
"Lumberton, Burlington",/database/pd-dept/lumberton-burlington,http://force.nj.com/database/pd-dept/lumberton-burlington,533%,123%,,1,11,11
"Lyndhurst, Bergen",/database/pd-dept/lyndhurst-bergen,http://force.nj.com/database/pd-dept/lyndhurst-bergen,857%,48%,,1,19,20
"Madison, Morris",/database/pd-dept/madison-morris,http://force.nj.com/database/pd-dept/madison-morris,199%,9%,,1,10,11
"Magnolia, Camden",/database/pd-dept/magnolia-camden,http://force.nj.com/database/pd-dept/magnolia-camden,138%,4%,,0,4,5
"Mahwah, Bergen",/database/pd-dept/mahwah-bergen,http://force.nj.com/database/pd-dept/mahwah-bergen,615%,91%,,0,18,19
"Manalapan, Monmouth",/database/pd-dept/manalapan-monmouth,http://force.nj.com/database/pd-dept/manalapan-monmouth,627%,35%,,0,9,10
"Manasquan, Monmouth",/database/pd-dept/manasquan-monmouth,http://force.nj.com/database/pd-dept/manasquan-monmouth,556%,62%,,3,21,21
"Manchester, Ocean",/database/pd-dept/manchester-ocean,http://force.nj.com/database/pd-dept/manchester-ocean,153%,12%,,5,47,48
"Mansfield, Burlington",/database/pd-dept/mansfield-burlington,http://force.nj.com/database/pd-dept/mansfield-burlington,,,,0,2,2
"Mansfield, Warren",/database/pd-dept/mansfield-warren,http://force.nj.com/database/pd-dept/mansfield-warren,18%,41%,,0,10,10
"Mantoloking, Ocean",/database/pd-dept/mantoloking-ocean,http://force.nj.com/database/pd-dept/mantoloking-ocean,,,,0,0,0
"Mantua, Gloucester",/database/pd-dept/mantua-gloucester,http://force.nj.com/database/pd-dept/mantua-gloucester,357%,22%,,2,16,16
"Manville, Somerset",/database/pd-dept/manville-somerset,http://force.nj.com/database/pd-dept/manville-somerset,916%,102%,,0,14,14
"Maple Shade, Burlington",/database/pd-dept/maple-shade-burlington,http://force.nj.com/database/pd-dept/maple-shade-burlington,194%,4%,,2,23,23
"Maplewood, Essex",/database/pd-dept/maplewood-essex,http://force.nj.com/database/pd-dept/maplewood-essex,368%,7%,,7,38,39
"Margate, Atlantic",/database/pd-dept/margate-atlantic,http://force.nj.com/database/pd-dept/margate-atlantic,,19%,,0,10,10
"Marlboro, Monmouth",/database/pd-dept/marlboro-monmouth,http://force.nj.com/database/pd-dept/marlboro-monmouth,451%,,,1,16,17
"Matawan, Monmouth",/database/pd-dept/matawan-monmouth,http://force.nj.com/database/pd-dept/matawan-monmouth,160%,6%,,2,8,8
"Maywood, Bergen",/database/pd-dept/maywood-bergen,http://force.nj.com/database/pd-dept/maywood-bergen,449%,19%,,0,10,10
"Medford Lakes, Burlington",/database/pd-dept/medford-lakes-burlington,http://force.nj.com/database/pd-dept/medford-lakes-burlington,,,,0,0,0
"Medford, Burlington",/database/pd-dept/medford-burlington,http://force.nj.com/database/pd-dept/medford-burlington,297%,16%,,0,14,15
"Mendham Borough, Morris",/database/pd-dept/mendham-borough-morris,http://force.nj.com/database/pd-dept/mendham-borough-morris,,13%,,0,0,0
"Mendham Township, Morris",/database/pd-dept/mendham-township-morris,http://force.nj.com/database/pd-dept/mendham-township-morris,,127%,,0,2,2
"Merchantville, Camden",/database/pd-dept/merchantville-camden,http://force.nj.com/database/pd-dept/merchantville-camden,,17%,,0,4,4
"Metuchen, Middlesex",/database/pd-dept/metuchen-middlesex,http://force.nj.com/database/pd-dept/metuchen-middlesex,275%,34%,,0,10,10
"Middle, Cape May",/database/pd-dept/middle-cape-may,http://force.nj.com/database/pd-dept/middle-cape-may,223%,99%,,3,33,33
"Middlesex, Middlesex",/database/pd-dept/middlesex-middlesex,http://force.nj.com/database/pd-dept/middlesex-middlesex,8%,46%,,0,10,14
"Middletown, Monmouth",/database/pd-dept/middletown-monmouth,http://force.nj.com/database/pd-dept/middletown-monmouth,1021%,56%,,3,55,56
"Midland Park, Bergen",/database/pd-dept/midland-park-bergen,http://force.nj.com/database/pd-dept/midland-park-bergen,,,,0,3,3
"Millburn, Essex",/database/pd-dept/millburn-essex,http://force.nj.com/database/pd-dept/millburn-essex,,76%,,0,6,8
"Milltown, Middlesex",/database/pd-dept/milltown-middlesex,http://force.nj.com/database/pd-dept/milltown-middlesex,,35%,,0,5,6
"Millville, Cumberland",/database/pd-dept/millville-cumberland,http://force.nj.com/database/pd-dept/millville-cumberland,581%,138%,,21,50,53
"Monmouth Beach, Monmouth",/database/pd-dept/monmouth-beach-monmouth,http://force.nj.com/database/pd-dept/monmouth-beach-monmouth,,57%,,0,7,8
"Monroe, Gloucester",/database/pd-dept/monroe-gloucester,http://force.nj.com/database/pd-dept/monroe-gloucester,91%,1%,,6,26,28
"Monroe, Middlesex",/database/pd-dept/monroe-middlesex,http://force.nj.com/database/pd-dept/monroe-middlesex,22%,63%,,0,24,24
"Montclair, Essex",/database/pd-dept/montclair-essex,http://force.nj.com/database/pd-dept/montclair-essex,490%,15%,,0,33,34
"Montgomery, Somerset",/database/pd-dept/montgomery-somerset,http://force.nj.com/database/pd-dept/montgomery-somerset,,,,0,0,1
"Montvale, Bergen",/database/pd-dept/montvale-bergen,http://force.nj.com/database/pd-dept/montvale-bergen,741%,60%,,0,4,4
"Montville, Morris",/database/pd-dept/montville-morris,http://force.nj.com/database/pd-dept/montville-morris,59%,76%,,0,12,13
"Moonachie & Teterboro, Bergen",/database/pd-dept/moonachie-bergen,http://force.nj.com/database/pd-dept/moonachie-bergen,,,,0,3,3
"Moorestown, Burlington",/database/pd-dept/moorestown-burlington,http://force.nj.com/database/pd-dept/moorestown-burlington,842%,6%,,0,10,11
"Morris Plains, Morris",/database/pd-dept/morris-plains-morris,http://force.nj.com/database/pd-dept/morris-plains-morris,,10%,,0,4,5
"Morris Township, Morris",/database/pd-dept/morris-township-morris,http://force.nj.com/database/pd-dept/morris-township-morris,429%,25%,,1,10,11
"Morristown, Morris",/database/pd-dept/morristown-morris,http://force.nj.com/database/pd-dept/morristown-morris,112%,3%,,4,32,37
"Mount Arlington, Morris",/database/pd-dept/mount-arlington-morris,http://force.nj.com/database/pd-dept/mount-arlington-morris,,,,0,2,2
"Mount Ephraim, Camden",/database/pd-dept/mount-ephraim-camden,http://force.nj.com/database/pd-dept/mount-ephraim-camden,101%,60%,,0,10,11
"Mount Holly, Burlington",/database/pd-dept/mount-holly-burlington,http://force.nj.com/database/pd-dept/mount-holly-burlington,408%,100%,,8,24,24
"Mount Laurel, Burlington",/database/pd-dept/mount-laurel-burlington,http://force.nj.com/database/pd-dept/mount-laurel-burlington,392%,3%,,0,28,28
"Mount Olive, Morris",/database/pd-dept/mount-olive-morris,http://force.nj.com/database/pd-dept/mount-olive-morris,31%,56%,,0,20,21
"Mountain Lakes, Morris",/database/pd-dept/mountain-lakes-morris,http://force.nj.com/database/pd-dept/mountain-lakes-morris,,,,0,0,0
"Mountainside, Union",/database/pd-dept/mountainside-union,http://force.nj.com/database/pd-dept/mountainside-union,,17%,,0,5,7
"Mullica, Atlantic",/database/pd-dept/mullica-atlantic,http://force.nj.com/database/pd-dept/mullica-atlantic,,11%,,0,4,4
"Neptune City, Monmouth",/database/pd-dept/neptune-city-monmouth,http://force.nj.com/database/pd-dept/neptune-city-monmouth,330%,28%,,1,8,8
"Neptune Township, Monmouth",/database/pd-dept/neptune-township-monmouth,http://force.nj.com/database/pd-dept/neptune-township-monmouth,295%,79%,,14,52,53
"Netcong, Morris",/database/pd-dept/netcong-morris,http://force.nj.com/database/pd-dept/netcong-morris,,22%,,0,8,8
"New Brunswick, Middlesex",/database/pd-dept/new-brunswick-middlesex,http://force.nj.com/database/pd-dept/new-brunswick-middlesex,268%,78%,,18,73,90
"New Milford, Bergen",/database/pd-dept/new-milford-bergen,http://force.nj.com/database/pd-dept/new-milford-bergen,48%,64%,,0,9,9
"New Providence, Union",/database/pd-dept/new-providence-union,http://force.nj.com/database/pd-dept/new-providence-union,,,,0,3,3
"Newark, Essex",/database/pd-dept/newark-essex,http://force.nj.com/database/pd-dept/newark-essex,133%,203%,,49,374,432
"Newfield, Gloucester",/database/pd-dept/newfield-gloucester,http://force.nj.com/database/pd-dept/newfield-gloucester,,,,0,0,0
"Newton, Sussex",/database/pd-dept/newton-sussex,http://force.nj.com/database/pd-dept/newton-sussex,221%,175%,,2,15,15
"North Arlington, Bergen",/database/pd-dept/north-arlington-bergen,http://force.nj.com/database/pd-dept/north-arlington-bergen,126%,69%,,0,12,15
"North Bergen, Hudson",/database/pd-dept/north-bergen-hudson,http://force.nj.com/database/pd-dept/north-bergen-hudson,3%,92%,,0,56,57
"North Brunswick, Middlesex",/database/pd-dept/north-brunswick-middlesex,http://force.nj.com/database/pd-dept/north-brunswick-middlesex,206%,33%,,0,23,28
"North Caldwell, Essex",/database/pd-dept/north-caldwell-essex,http://force.nj.com/database/pd-dept/north-caldwell-essex,,,,0,0,0
"North Haledon, Passaic",/database/pd-dept/north-haledon-passaic,http://force.nj.com/database/pd-dept/north-haledon-passaic,,114%,,0,10,10
"North Hanover, Burlington",/database/pd-dept/north-hanover-burlington,http://force.nj.com/database/pd-dept/north-hanover-burlington,0%,4%,,0,1,2
"North Plainfield, Somerset",/database/pd-dept/north-plainfield-somerset,http://force.nj.com/database/pd-dept/north-plainfield-somerset,8%,18%,,6,28,29
"North Wildwood, Cape May",/database/pd-dept/north-wildwood-cape-may,http://force.nj.com/database/pd-dept/north-wildwood-cape-may,179%,18%,,3,42,42
"Northfield City, Atlantic",/database/pd-dept/northfield-atlantic,http://force.nj.com/database/pd-dept/northfield-atlantic,,95%,,0,3,4
"Northvale & Rockleigh Borough, Bergen",/database/pd-dept/northvale-bergen,http://force.nj.com/database/pd-dept/northvale-bergen,,,,0,1,1
"Norwood, Bergen",/database/pd-dept/norwood-bergen,http://force.nj.com/database/pd-dept/norwood-bergen,,,,0,0,0
"Nutley, Essex",/database/pd-dept/nutley-essex,http://force.nj.com/database/pd-dept/nutley-essex,603%,58%,,2,34,36
"Oakland, Bergen",/database/pd-dept/oakland-bergen,http://force.nj.com/database/pd-dept/oakland-bergen,,,,0,6,7
"Oaklyn, Camden",/database/pd-dept/oaklyn-camden,http://force.nj.com/database/pd-dept/oaklyn-camden,,41%,,0,6,6
"Ocean City, Cape May",/database/pd-dept/ocean-city-cape-may,http://force.nj.com/database/pd-dept/ocean-city-cape-may,1289%,13%,,0,28,28
"Ocean Gate, Ocean",/database/pd-dept/ocean-gate-ocean,http://force.nj.com/database/pd-dept/ocean-gate-ocean,,,,0,4,4
"Oceanport, Monmouth",/database/pd-dept/oceanport-monmouth,http://force.nj.com/database/pd-dept/oceanport-monmouth,1311%,20%,,0,12,12
"Ocean Township, Monmouth",/database/pd-dept/ocean-township-monmouth,http://force.nj.com/database/pd-dept/ocean-township-monmouth,423%,29%,,1,22,23
"Ocean Township, Ocean",/database/pd-dept/ocean-township-ocean,http://force.nj.com/database/pd-dept/ocean-township-ocean,7519%,9%,,1,5,8
"Ogdensburg, Sussex",/database/pd-dept/ogdensburg-sussex,http://force.nj.com/database/pd-dept/ogdensburg-sussex,,,,0,3,3
"Old Bridge, Middlesex",/database/pd-dept/old-bridge-middlesex,http://force.nj.com/database/pd-dept/old-bridge-middlesex,201%,24%,,0,13,15
"Old Tappan, Bergen",/database/pd-dept/old-tappan-bergen,http://force.nj.com/database/pd-dept/old-tappan-bergen,,,,0,2,2
"Oradell, Bergen",/database/pd-dept/oradell-bergen,http://force.nj.com/database/pd-dept/oradell-bergen,,,,0,1,2
"Orange, Essex",/database/pd-dept/orange-essex,http://force.nj.com/database/pd-dept/orange-essex,76%,38%,,5,32,37
"Palisades Park, Bergen",/database/pd-dept/palisades-park-bergen,http://force.nj.com/database/pd-dept/palisades-park-bergen,,18%,,0,10,11
"Palmyra, Burlington",/database/pd-dept/palmyra-burlington,http://force.nj.com/database/pd-dept/palmyra-burlington,210%,4%,,0,7,7
"Paramus, Bergen",/database/pd-dept/paramus-bergen,http://force.nj.com/database/pd-dept/paramus-bergen,1530%,58%,,6,29,38
"Park Ridge, Bergen",/database/pd-dept/park-ridge-bergen,http://force.nj.com/database/pd-dept/park-ridge-bergen,26%,47%,,0,5,5
"Parsippany-Troy, Morris",/database/pd-dept/parsippany-troy-morris,http://force.nj.com/database/pd-dept/parsippany-troy-morris,93%,9%,,2,26,26
"Passaic, Passaic",/database/pd-dept/passaic-passaic,http://force.nj.com/database/pd-dept/passaic-passaic,67%,158%,,13,84,88
"Paterson, Passaic",/database/pd-dept/paterson-passaic,http://force.nj.com/database/pd-dept/paterson-passaic,78%,459%,,35,233,252
"Paulsboro, Gloucester",/database/pd-dept/paulsboro-gloucester,http://force.nj.com/database/pd-dept/paulsboro-gloucester,210%,41%,,3,22,24
"Peapack-Gladstone, Somerset",/database/pd-dept/peapack-gladstone-somerset,http://force.nj.com/database/pd-dept/peapack-gladstone-somerset,,,,0,1,1
"Pemberton Borough, Burlington",/database/pd-dept/pemberton-borough-burlington,http://force.nj.com/database/pd-dept/pemberton-borough-burlington,181%,26%,,0,5,5
"Pemberton Township, Burlington",/database/pd-dept/pemberton-township-burlington,http://force.nj.com/database/pd-dept/pemberton-township-burlington,147%,8%,,2,32,32
"Pennington, Mercer",/database/pd-dept/pennington-mercer,http://force.nj.com/database/pd-dept/pennington-mercer,,,,0,0,0
"Penns Grove, Salem",/database/pd-dept/penns-grove-salem,http://force.nj.com/database/pd-dept/penns-grove-salem,173%,59%,,3,7,8
"Pennsauken, Camden",/database/pd-dept/pennsauken-camden,http://force.nj.com/database/pd-dept/pennsauken-camden,106%,71%,,6,49,54
"Pennsville, Salem",/database/pd-dept/pennsville-salem,http://force.nj.com/database/pd-dept/pennsville-salem,1845%,19%,,4,14,14
"Pequannock, Morris",/database/pd-dept/pequannock-morris,http://force.nj.com/database/pd-dept/pequannock-morris,1673%,36%,,0,7,7
"Perth Amboy, Middlesex",/database/pd-dept/perth-amboy-middlesex,http://force.nj.com/database/pd-dept/perth-amboy-middlesex,65%,,,30,75,78
"Phillipsburg & Alpha, Warren",/database/pd-dept/phillipsburg-warren,http://force.nj.com/database/pd-dept/phillipsburg-warren,232%,40%,,4,13,15
"Pine Beach, Ocean",/database/pd-dept/pine-beach-ocean,http://force.nj.com/database/pd-dept/pine-beach-ocean,,,,0,5,5
"Pine Hill, Camden",/database/pd-dept/pine-hill-camden,http://force.nj.com/database/pd-dept/pine-hill-camden,127%,25%,,2,15,15
"Piscataway, Middlesex",/database/pd-dept/piscataway-middlesex,http://force.nj.com/database/pd-dept/piscataway-middlesex,22%,37%,,0,13,16
"Pitman, Gloucester",/database/pd-dept/pitman-gloucester,http://force.nj.com/database/pd-dept/pitman-gloucester,706%,56%,,0,5,6
"Plainfield, Union",/database/pd-dept/plainfield-union,http://force.nj.com/database/pd-dept/plainfield-union,38%,66%,,4,45,47
"Plainsboro, Middlesex",/database/pd-dept/plainsboro-middlesex,http://force.nj.com/database/pd-dept/plainsboro-middlesex,178%,12%,,0,23,23
"Pleasantville, Atlantic",/database/pd-dept/pleasantville-atlantic,http://force.nj.com/database/pd-dept/pleasantville-atlantic,44%,32%,,9,36,39
"Plumsted, Ocean",/database/pd-dept/plumsted-ocean,http://force.nj.com/database/pd-dept/plumsted-ocean,,89%,,0,1,1
"Pohatcong, Warren",/database/pd-dept/pohatcong-warren,http://force.nj.com/database/pd-dept/pohatcong-warren,,153%,,0,5,6
"Point Pleasant Beach, Ocean",/database/pd-dept/point-pleasant-beach-ocean,http://force.nj.com/database/pd-dept/point-pleasant-beach-ocean,2331%,10%,,1,40,40
"Point Pleasant, Ocean",/database/pd-dept/point-pleasant-ocean,http://force.nj.com/database/pd-dept/point-pleasant-ocean,,,,1,15,16
"Pompton Lakes, Passaic",/database/pd-dept/pompton-lakes-passaic,http://force.nj.com/database/pd-dept/pompton-lakes-passaic,29976%,385%,,5,15,16
"Princeton & Princeton Borough (2012 only), Mercer",/database/pd-dept/princeton-mercer,http://force.nj.com/database/pd-dept/princeton-mercer,493%,57%,,0,17,17
"Prospect Park, Passaic",/database/pd-dept/prospect-park-passaic,http://force.nj.com/database/pd-dept/prospect-park-passaic,1%,162%,,0,5,6
"Rahway, Union",/database/pd-dept/rahway-union,http://force.nj.com/database/pd-dept/rahway-union,23%,3%,,2,21,25
"Ramsey, Bergen",/database/pd-dept/ramsey-bergen,http://force.nj.com/database/pd-dept/ramsey-bergen,5987%,55%,,1,17,17
"Randolph, Morris",/database/pd-dept/randolph-morris,http://force.nj.com/database/pd-dept/randolph-morris,249%,27%,,1,19,19
"Raritan, Hunterdon",/database/pd-dept/raritan-hunterdon,http://force.nj.com/database/pd-dept/raritan-hunterdon,775%,36%,,0,8,8
"Raritan, Somerset",/database/pd-dept/raritan-somerset,http://force.nj.com/database/pd-dept/raritan-somerset,1568%,83%,,0,11,11
"Readington, Hunterdon",/database/pd-dept/readington-hunterdon,http://force.nj.com/database/pd-dept/readington-hunterdon,4444%,117%,,0,5,5
"Red Bank, Monmouth",/database/pd-dept/red-bank-monmouth,http://force.nj.com/database/pd-dept/red-bank-monmouth,174%,79%,,10,21,25
"Ridgefield Park, Bergen",/database/pd-dept/ridgefield-park-bergen,http://force.nj.com/database/pd-dept/ridgefield-park-bergen,32%,40%,,0,20,21
"Ridgefield, Bergen",/database/pd-dept/ridgefield-bergen,http://force.nj.com/database/pd-dept/ridgefield-bergen,,,,0,5,5
"Ridgewood, Bergen",/database/pd-dept/ridgewood-bergen,http://force.nj.com/database/pd-dept/ridgewood-bergen,405%,35%,,1,20,20
"Ringwood, Passaic",/database/pd-dept/ringwood-passaic,http://force.nj.com/database/pd-dept/ringwood-passaic,419%,66%,,0,14,14
"River Edge, Bergen",/database/pd-dept/river-edge-bergen,http://force.nj.com/database/pd-dept/river-edge-bergen,,,,0,5,5
"River Vale, Bergen",/database/pd-dept/river-vale-bergen,http://force.nj.com/database/pd-dept/river-vale-bergen,,,,0,1,1
"Riverdale, Morris",/database/pd-dept/riverdale-morris,http://force.nj.com/database/pd-dept/riverdale-morris,,32%,,0,6,6
"Riverside, Burlington",/database/pd-dept/riverside-burlington,http://force.nj.com/database/pd-dept/riverside-burlington,160%,53%,,1,13,15
"Riverton, Burlington",/database/pd-dept/riverton-burlington,http://force.nj.com/database/pd-dept/riverton-burlington,,,,0,2,2
"Robbinsville, Mercer",/database/pd-dept/robbinsville-mercer,http://force.nj.com/database/pd-dept/robbinsville-mercer,328%,31%,,0,11,11
"Rochelle Park, Bergen",/database/pd-dept/rochelle-park-bergen,http://force.nj.com/database/pd-dept/rochelle-park-bergen,1975%,4%,,1,8,9
"Rockaway Borough, Morris",/database/pd-dept/rockaway-borough-morris,http://force.nj.com/database/pd-dept/rockaway-borough-morris,,57%,,0,2,2
"Rockaway Township, Morris",/database/pd-dept/rockaway-township-morris,http://force.nj.com/database/pd-dept/rockaway-township-morris,1077%,151%,,0,10,10
"Roseland, Essex",/database/pd-dept/roseland-essex,http://force.nj.com/database/pd-dept/roseland-essex,,,,0,3,3
"Roselle Park, Union",/database/pd-dept/roselle-park-union,http://force.nj.com/database/pd-dept/roselle-park-union,449%,25%,,2,19,19
"Roselle, Union",/database/pd-dept/roselle-union,http://force.nj.com/database/pd-dept/roselle-union,46%,12%,,9,35,47
"Roxbury, Morris",/database/pd-dept/roxbury-morris,http://force.nj.com/database/pd-dept/roxbury-morris,41%,65%,,0,20,21
"Rumson, Monmouth",/database/pd-dept/rumson-monmouth,http://force.nj.com/database/pd-dept/rumson-monmouth,,,,0,1,3
"Runnemede, Camden",/database/pd-dept/runnemede-camden,http://force.nj.com/database/pd-dept/runnemede-camden,,,,0,0,0
"Rutherford, Bergen",/database/pd-dept/rutherford-bergen,http://force.nj.com/database/pd-dept/rutherford-bergen,636%,143%,,0,14,14
"Saddle Brook, Bergen",/database/pd-dept/saddle-brook-bergen,http://force.nj.com/database/pd-dept/saddle-brook-bergen,,119%,,0,3,4
"Saddle River, Bergen",/database/pd-dept/saddle-river-bergen,http://force.nj.com/database/pd-dept/saddle-river-bergen,,,,0,0,0
"Salem City, Salem",/database/pd-dept/salem-city-salem,http://force.nj.com/database/pd-dept/salem-city-salem,112%,,,3,14,15
"Sayreville, Middlesex",/database/pd-dept/sayreville-middlesex,http://force.nj.com/database/pd-dept/sayreville-middlesex,32%,7%,,0,34,40
"Scotch Plains, Union",/database/pd-dept/scotch-plains-union,http://force.nj.com/database/pd-dept/scotch-plains-union,276%,17%,,0,13,15
